Frequency (Hz),Instrument,UB_err_mean,UB_err_var,LB_err_mean,LB_err_var,min_flux
3000000000.0,b'F606W',0.11764705882352941,,0.11764705882352941,,0.034
3000000000.0,b'NuSTAR',0.31578947368421056,,0.31578947368421056,,0.019
3000000000.0,b'XMM',0.26666666666666666,0.0,0.26666666666666666,0.0,0.015
3000000000.0,b'i',0.12290969899665552,0.00011325376673638983,0.12290969899665552,0.00011325376673638983,0.023
3400000000.0,b'F606W',0.1506982600732601,0.002608575866860553,0.1506982600732601,0.002608575866860553,0.091
3500000000.0,b'F606W',0.20551919546651767,0.012140231231505236,0.20551919546651767,0.012140231231505236,0.055
5000000000.0,b'Radio',0.16049382716049382,,0.16049382716049382,,0.081
5500000000.0,b'F606W',0.16,,0.16,,0.05
5500000000.0,b'Radio',0.16176587691484787,0.0021511703105704084,0.16176587691484787,0.0021511703105704084,0.036
5500000000.0,b'VLA',0.27314814814814814,0.0010716735253772283,0.27314814814814814,0.0010716735253772283,0.027
6000000000.0,b'ATCA',0.2711864406779661,,0.2711864406779661,,0.0059
6000000000.0,b'Radio',0.2227002847140147,0.004328665352889085,0.2227002847140147,0.004328665352889085,0.014
6000000000.0,b'VLA',0.375,,0.375,,0.016
7000000000.0,b'ATCA',0.11475409836065574,,0.11475409836065574,,0.061
9000000000.0,b'ATCA',0.2037037037037037,,0.2037037037037037,,0.054
9000000000.0,b'Radio',0.2044829672139455,0.005799762632419917,0.2044829672139455,0.005799762632419917,0.021
9000000000.0,b'VLA',0.16129032258064516,,0.16129032258064516,,0.031
10000000000.0,b'Radio',0.25,,0.25,,0.028
15000000000.0,b'Radio',0.23809523809523808,,0.23809523809523808,,0.021
508122810169500.0,b'NuSTAR',0.2763102111592694,9.112523665172607e-27,0.2763102111592694,9.112523665172607e-27,1.905575888167e-05
508122810169500.0,b'Swift',0.18789094358829037,0.004623820688136996,0.18789094358829037,0.004623820688136996,8.3181404472e-05
2.418e+17,b'ATCA',0.4500261569892789,0.03251685978000693,0.48336917742907354,0.015842248604941996,4.301e-08
2.418e+17,b'Radio',0.2705794737408747,0.024714346243317375,0.2606947738432754,0.026185488860059832,8.603e-08
2.418e+17,b'VLA',0.1787134665481218,0.0028016435430712828,0.1928029750557508,0.007642334673052351,2.6668e-07
1.20899718108e+18,b'Chandra',0.29041581113366405,0.02940215135897206,0.29041581113366405,0.02940215135897206,1.6846e-08
1.20899718108e+18,b'Swift',0.12105263157894737,,0.12105263157894737,,6.375165e-07
