Frequency (Hz),Instrument
3000000000.0,b'NuSTAR'
3000000000.0,b'XMM'
3000000000.0,b'i'
3000000000.0,b'F606W'
3400000000.0,b'F606W'
3500000000.0,b'F606W'
5000000000.0,b'Radio'
5500000000.0,b'VLA'
5500000000.0,b'Radio'
5500000000.0,b'F606W'
6000000000.0,b'VLA'
6000000000.0,b'Radio'
6000000000.0,b'ATCA'
7000000000.0,b'ATCA'
9000000000.0,b'ATCA'
9000000000.0,b'VLA'
9000000000.0,b'Radio'
10000000000.0,b'Radio'
15000000000.0,b'Radio'
508122810169500.0,b'Swift'
508122810169500.0,b'NuSTAR'
2.418e+17,b'Radio'
2.418e+17,b'ATCA'
2.418e+17,b'VLA'
1.20899718108e+18,b'Swift'
1.20899718108e+18,b'Chandra'
